,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Group Inc,0.0876,58249484,17974625772
1,2023-06-30,Blackrock Inc.,0.0717,47666915,14709056630
2,2023-06-30,State Street Corporation,0.0401,26644296,8221896859
3,2023-06-30,Morgan Stanley,0.028199999,18749920,5785850313
4,2023-06-30,Massachusetts Financial Services Co.,0.0216,14326763,4420952526
5,2023-06-30,"FMR, LLC",0.019199999,12750523,3934556387
6,2023-06-30,"Geode Capital Management, LLC",0.0178,11816701,3646397594
7,2023-06-30,Price (T.Rowe) Associates Inc,0.0178,11834610,3651923953
8,2023-06-30,"Wellington Management Group, LLP",0.0155,10314019,3182699983
9,2023-06-30,JP Morgan Chase & Company,0.014199999,9448592,2915646519
